,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd1,Rsvd2,Rsvd3,Rsvd4
401515,2024-04-05,2024-04-05,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6500.85,6680.0,6500.85,6665.9,6651.0,6500.2,,6669.65,,,11258,74395285.0,2021,F1,1,,,,,,,,,
405782,2024-06-13,2024-06-13,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8379.45,8488.1,8320.65,8443.0,8440.1,8280.6,,8446.6,,,7214,60737594.0,1461,F1,1,,,,,,,,,
410095,2024-06-07,2024-06-07,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8000.8,8098.45,7918.45,8071.7,8031.0,7987.8,,8073.2,,,9131,73114324.0,2563,F1,1,,,,,,,,,
414358,2024-06-03,2024-06-03,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8597.9,8766.6,8398.0,8724.7,8710.0,8316.85,,8727.8,,,13974,120764027.0,2656,F1,1,,,,,,,,,
418811,2024-04-01,2024-04-01,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6400.65,6569.8,6400.65,6508.35,6508.35,6363.3,,6504.8,,,14574,94801667.0,2308,F1,1,,,,,,,,,
423194,2024-04-15,2024-04-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6748.95,6748.95,6546.05,6559.95,6559.95,6749.4,,6561.05,,,7649,50629734.0,1999,F1,1,,,,,,,,,
427602,2024-04-29,2024-04-29,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6499.3,6499.3,6350.0,6451.7,6451.7,6409.05,,6451.9,,,5564,35643120.0,983,F1,1,,,,,,,,,
431988,2024-06-14,2024-06-14,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8450.25,9143.95,8450.25,9021.85,9021.85,8443.0,,9020.1,,,36714,328331261.0,5569,F1,1,,,,,,,,,
436316,2024-06-28,2024-06-28,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8710.0,8710.0,8440.0,8492.6,8517.65,8636.0,,8490.9,,,8282,70820306.0,1854,F1,1,,,,,,,,,
440665,2024-04-16,2024-04-16,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6563.05,6665.95,6522.0,6647.2,6660.0,6559.95,,6644.9,,,7248,47803689.0,1550,F1,1,,,,,,,,,
444923,2024-04-02,2024-04-02,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6508.8,6538.0,6371.4,6429.15,6426.3,6508.35,,6429.8,,,10911,70169116.0,1876,F1,1,,,,,,,,,
449213,2024-04-03,2024-04-03,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6510.65,6522.4,6432.25,6505.4,6499.0,6429.15,,6504.05,,,7550,48967059.0,1401,F1,1,,,,,,,,,
