TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-26,2024-02-26,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5371.75,5430.00,5139.20,5297.15,5295.50,5389.60,,5296.20,,,29925,158035276.00,4009,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,444.25,453.30,421.10,427.05,427.05,443.40,,426.35,,,31763,13784314.00,1594,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,859.05,859.05,837.95,841.55,842.00,854.60,,841.65,,,14132,11952993.00,1013,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,58.78,59.80,58.05,59.11,59.11,58.78,,59.11,,,71564,4203897.00,399,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,89.60,91.00,88.50,90.00,90.00,88.75,,90.00,,,291178,26234909.00,2900,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,11.65,11.95,11.07,11.07,11.07,11.65,,11.07,,,154393,1735868.00,100,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.94,9.06,8.80,8.87,8.91,8.95,,8.87,,,35546,316138.00,243,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,18.00,18.69,17.30,17.50,17.50,17.87,,17.50,,,17388,306094.00,56,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,181.20,181.20,175.25,178.10,178.10,180.00,,178.15,,,87549,15589525.00,1422,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,132.25,134.90,132.15,133.15,133.15,135.30,,133.50,,,1342,177592.00,10,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6292.05,6305.15,6238.15,6277.45,6256.00,6300.30,,6287.00,,,1250,7846543.00,425,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,20.71,21.66,20.15,21.00,20.70,20.77,,21.00,,,42863,903846.00,152,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1005.25,1010.30,992.00,1000.80,1005.80,1005.25,,1004.00,,,5251,5260693.00,584,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,37.39,37.63,36.36,36.49,36.49,37.27,,36.45,,,832815,30685115.00,2651,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,5901.05,6118.95,5851.50,6008.85,6008.85,5882.40,,6008.70,,,12656,75945503.00,2464,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6678.45,6708.50,6623.15,6641.10,6641.10,6698.30,,6643.20,,,31956,212581589.00,6095,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,380.55,381.80,373.05,375.30,375.50,379.95,,375.10,,,96998,36709896.00,2994,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,674.50,674.75,660.45,661.60,661.40,668.85,,662.65,,,50413,33687884.00,1546,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1432.00,1507.25,1426.85,1489.50,1489.85,1433.55,,1491.50,,,23686,35125776.00,1920,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,2819.95,2820.00,2710.00,2713.15,2710.00,2771.30,,2710.95,,,391,1075959.00,139,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3262.00,3335.80,3256.00,3321.45,3256.00,3255.45,,3319.60,,,834,2753467.00,212,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1427.75,1434.25,1419.65,1428.05,1430.00,1427.90,,1428.50,,,83943,119843997.00,2729,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3036.65,3093.05,2998.90,3073.10,3073.10,3037.40,,3073.15,,,18907,58038309.00,2416,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,205.95,206.70,202.70,204.10,204.10,205.50,,204.25,,,1918979,392216038.00,21005,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,99.35,99.80,97.60,97.90,97.90,98.95,,97.85,,,48763,4786095.00,743,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,16.31,16.82,15.35,16.82,16.82,16.02,,16.82,,,104699,1756151.00,246,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,18.10,19.49,18.10,18.60,18.60,18.67,,18.95,,,2538,47447.00,12,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,319.55,319.55,309.25,311.65,311.65,318.50,,311.70,,,32793,10282556.00,1693,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1298.65,1332.80,1253.00,1256.50,1261.50,1293.20,,1256.35,,,15748,20409494.00,1314,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,14801.00,14942.40,14502.35,14743.95,14631.00,14746.95,,14743.95,,,244,3584487.00,34,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,369.50,369.50,335.00,349.50,349.50,350.00,,349.50,,,403,138365.00,21,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,105.25,106.30,101.00,104.70,104.85,103.25,,104.60,,,21197,2178839.00,274,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,363.80,367.50,354.85,357.15,356.45,362.00,,357.00,,,1942,697729.00,265,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,23.90,23.99,23.00,23.74,23.80,24.05,,23.60,,,43588,1022945.00,284,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,129.40,130.20,126.80,128.95,128.95,129.35,,129.15,,,311835,40126718.00,4387,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,367.40,367.40,356.15,357.20,357.20,367.40,,357.15,,,23712,8524705.00,884,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,331.85,332.15,327.75,328.15,328.00,329.60,,328.15,,,40497,13349146.00,1393,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1479.45,1480.95,1461.95,1469.75,1466.85,1466.20,,1469.85,,,24069,35405571.00,1252,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,451.00,474.05,432.10,461.85,465.00,464.15,,466.30,,,1727,802986.00,130,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4900.05,4943.25,4875.00,4896.55,4894.05,4906.10,,4898.10,,,1669,8193742.00,545,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,437.55,437.55,422.00,428.40,426.00,433.45,,428.40,,,51792,22170525.00,2158,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,534.80,536.80,526.65,529.35,529.35,535.65,,529.25,,,48720,25934661.00,3033,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,401.30,408.95,397.95,398.80,398.15,406.60,,398.90,,,11507,4618128.00,528,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,288.65,291.45,279.30,286.50,287.30,286.65,,287.65,,,14210,4067669.00,722,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,229.75,232.15,226.35,227.95,227.95,229.75,,228.05,,,1249086,285795781.00,12187,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,526.25,543.40,510.95,541.80,541.80,527.40,,541.65,,,236248,124920534.00,4386,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,46.80,49.17,45.69,48.85,48.85,46.83,,48.63,,,3384847,162404734.00,10604,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500108,INE153A01019,MTNL,B,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,45.32,45.47,44.05,44.79,44.67,44.96,,44.75,,,246760,11053608.00,1429,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,245.90,251.00,236.70,244.00,244.00,246.10,,243.60,,,702258,171059568.00,10196,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,947.45,956.55,936.60,941.50,941.50,948.90,,942.45,,,38126,36050179.00,1977,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500111,INE013A01015,RELCAPITAL,T,,,,,RELIANCE CAPITAL LTD.,11.98,12.84,11.74,11.79,11.79,12.34,,12.27,,,291424,3563549.00,827,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,755.00,766.20,752.60,759.00,759.00,759.40,,758.90,,,667473,506521108.00,18609,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,128.10,128.15,123.70,124.20,124.20,128.05,,124.20,,,2391950,299673856.00,20655,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3692.95,3692.95,3612.00,3621.05,3621.05,3692.95,,3622.45,,,23622,86012812.00,4527,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,91.08,91.76,89.48,89.93,89.93,91.15,,89.90,,,812007,73660962.00,4685,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500117,INE500A01029,DCW,B,,,,,DCW LTD.,61.07,61.74,59.55,60.93,60.93,61.12,,60.90,,,542874,32853123.00,2563,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,A,,,,,DHAMPUR SUGAR MILLS LTD.,251.65,251.65,245.50,246.30,246.80,248.15,,246.20,,,13463,3330504.00,408,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,560.85,560.85,542.95,544.55,549.00,560.85,,545.50,,,3694,2018104.00,400,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,8684.45,8885.00,8601.05,8812.00,8812.00,8684.45,,8812.00,,,1071,9397228.00,158,F1,1,,,,,
2024-02-26,2024-02-26,CM,BSE,STK,500124,INE089A01023,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,6400.35,6490.00,6380.00,6438.50,6438.50,6445.00,,6440.70,,,6896,44432101.00,1384,F1,1,,,,,
