TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-10,2024-07-10,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8505.05,8611.35,8385.45,8544.75,8551.20,8572.45,,8542.90,,,3266,27799901.00,914,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,940.60,951.25,906.15,909.15,909.15,932.60,,909.30,,,9154,8369418.00,865,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1671.30,1688.40,1585.05,1683.70,1683.70,1670.70,,1684.60,,,198963,326517745.00,17838,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,62.44,72.50,55.70,70.66,70.66,61.22,,70.66,,,3239520,216320637.00,9646,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,116.45,116.85,105.00,112.35,112.35,115.55,,112.35,,,377124,41770664.00,2932,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,10.65,11.44,10.42,10.92,11.14,10.90,,10.97,,,117238,1296425.00,115,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.11,8.30,8.07,8.29,8.30,8.17,,8.29,,,30222,247035.00,207,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.55,10.55,9.73,9.85,9.85,10.24,,9.85,,,119096,1191960.00,194,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,225.00,226.40,210.85,220.70,220.70,223.05,,220.84,,,466363,102571378.00,6799,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,155.00,158.80,152.30,158.80,158.80,155.90,,157.57,,,89,13766.00,7,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6785.00,6824.90,6645.00,6803.00,6815.55,6788.90,,6809.50,,,1694,11437293.00,592,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,35.48,35.48,35.48,35.48,35.48,34.79,,35.48,,,111826,3967586.00,138,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1090.00,1106.20,1077.05,1078.35,1078.70,1094.50,,1078.70,,,4562,4994597.00,799,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,42.61,42.98,40.60,41.43,41.43,42.34,,41.46,,,3655432,151798745.00,12161,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,8510.05,8562.95,8340.00,8364.80,8350.00,8485.65,,8365.95,,,2584,21748096.00,944,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7098.25,7129.35,7023.50,7055.75,7055.75,7065.80,,7054.95,,,18899,133454237.00,3403,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,430.25,437.35,424.15,436.00,436.00,431.35,,436.50,,,159377,68797116.00,7150,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,678.00,681.30,657.55,662.40,662.40,678.80,,662.90,,,24427,16378191.00,2041,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2250.00,2289.95,2161.00,2187.55,2187.55,2238.85,,2186.90,,,36608,81566891.00,6631,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3284.90,3367.95,3125.00,3172.80,3155.60,3284.90,,3167.00,,,947,3014436.00,285,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,5452.05,5742.65,5400.00,5576.80,5541.00,5449.15,,5581.70,,,8573,47616861.00,2270,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1515.85,1544.90,1486.90,1539.20,1533.40,1514.85,,1540.60,,,22602,34428613.00,2348,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,5018.25,5070.15,4769.40,4870.05,4891.60,4968.90,,4870.20,,,47188,232550904.00,7233,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,340.35,340.35,324.15,333.70,333.70,334.55,,333.85,,,1766300,588629680.00,21594,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,148.75,151.05,141.25,147.40,147.40,148.35,,147.56,,,195545,28715827.00,2688,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,16.50,16.74,16.06,16.43,16.30,16.50,,16.43,,,15815,260867.00,96,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,15.75,15.75,15.35,15.40,15.35,15.55,,15.41,,,1979,30760.00,17,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,247.50,254.05,240.65,248.25,248.00,246.20,,249.05,,,12389,3079688.00,654,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1879.95,1879.95,1700.00,1710.60,1710.60,1849.35,,1711.05,,,75676,133455166.00,9244,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,16994.70,17224.00,16600.05,16804.75,16804.75,17010.40,,16804.75,,,602,10246368.00,416,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,378.75,396.60,378.75,395.00,396.60,390.00,,395.00,,,4952,1937736.00,51,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,135.35,135.35,125.70,130.50,131.05,132.70,,130.34,,,75857,9818655.00,2201,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,430.00,442.10,417.25,433.05,435.00,426.85,,433.70,,,13777,5888751.00,808,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,23.94,24.86,23.85,24.86,24.86,23.68,,24.85,,,196791,4873948.00,627,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,183.40,188.45,178.90,186.40,186.40,182.00,,186.08,,,1122104,206510734.00,14493,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,513.55,513.55,485.20,501.55,501.55,512.65,,500.65,,,230671,115137324.00,6178,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,582.00,582.00,549.05,567.40,567.40,578.50,,567.45,,,563208,317439946.00,21076,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1511.80,1517.00,1492.85,1513.15,1512.00,1511.80,,1513.20,,,13766,20707658.00,1759,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,525.00,525.00,506.50,514.05,514.05,531.55,,513.40,,,1342,690821.00,125,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4398.95,4398.95,4252.85,4304.75,4315.00,4357.55,,4304.85,,,3912,16825520.00,1089,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,761.20,761.20,723.00,742.70,742.70,757.65,,742.10,,,129117,95127180.00,7776,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,630.00,637.20,619.55,632.60,632.60,630.15,,631.70,,,72443,45794959.00,2987,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,426.00,426.00,407.85,414.55,414.05,420.05,,415.55,,,4225,1744168.00,427,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,382.05,389.00,372.35,386.65,386.75,381.60,,386.50,,,54523,20780715.00,4015,F1,1,,,,,
2024-07-10,2024-07-10,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,331.20,331.20,314.80,327.85,327.85,329.25,,327.95,,,1178299,383002879.00,13772,F1,1,,,,,
