TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-05-14,2024-05-14,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8042.50,8117.50,7914.20,8081.95,8074.95,7983.80,,8080.90,,,34654,277992055.00,5184,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,598.05,608.30,590.40,599.25,601.00,595.75,,598.05,,,17628,10532877.00,1185,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1066.95,1098.90,1056.00,1090.85,1090.85,1066.15,,1090.80,,,98842,106265463.00,5090,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,45.91,46.39,45.00,45.22,45.22,45.26,,45.22,,,58157,2648311.00,287,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,89.99,93.60,88.54,90.30,90.30,88.53,,90.30,,,144225,13041613.00,566,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,9.52,9.94,9.52,9.71,9.84,9.72,,9.71,,,44210,430803.00,253,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,10.69,11.00,10.35,10.89,10.89,10.69,,10.89,,,16604,177373.00,88,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,165.60,168.10,164.60,166.55,166.55,165.95,,166.75,,,36559,6096137.00,706,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5918.90,5960.15,5852.00,5939.95,5950.00,5936.35,,5938.35,,,1252,7384885.00,591,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,21.80,22.83,21.80,22.78,22.83,21.75,,22.78,,,63140,1426372.00,246,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,928.85,968.00,913.25,952.05,949.45,921.60,,948.90,,,21956,20645620.00,2955,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,31.52,32.85,31.40,32.53,32.53,31.45,,32.55,,,1756776,56549933.00,5182,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,8800.05,9249.80,8800.05,9211.50,9211.50,8808.85,,9182.00,,,5052,45893276.00,1778,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6715.00,6740.00,6658.60,6676.95,6680.00,6715.40,,6675.75,,,26814,179328895.00,3481,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,372.40,379.85,372.40,378.35,376.90,372.45,,378.60,,,15395,5797745.00,767,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,582.00,590.20,578.95,583.20,583.00,574.35,,583.15,,,6672,3905330.00,762,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1975.90,2020.00,1973.75,1995.40,1990.25,1962.65,,1996.65,,,6156,12286484.00,534,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,4130.65,4689.45,4070.55,4615.30,4615.00,4094.95,,4617.30,,,20170,91159029.00,4829,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1322.40,1334.40,1318.50,1328.15,1328.00,1315.85,,1328.80,,,18311,24273153.00,1215,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3679.60,3997.25,3643.25,3801.45,3805.00,3679.60,,3802.90,,,110179,423326972.00,12899,F1,1,,,,,
2024-05-14,2024-05-14,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,225.45,231.90,225.45,230.90,230.90,224.75,,230.95,,,1165478,267138965.00,12373,F1,1,,,,,
