TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-05-21,2024-05-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8415.35,8600.00,8350.00,8571.35,8571.35,8415.40,,8549.90,,,9270,78705041.00,2908,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,641.95,662.00,621.50,653.50,650.10,630.60,,652.95,,,89436,57071024.00,3594,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1169.90,1183.80,1140.00,1157.85,1157.85,1158.05,,1156.55,,,46783,54454727.00,2992,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,48.82,49.45,47.25,47.55,47.50,48.82,,47.55,,,80340,3883665.00,404,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,92.70,94.50,90.31,93.94,93.94,90.00,,93.94,,,340071,31529327.00,1198,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,8.95,9.50,8.95,9.20,9.35,9.42,,9.10,,,27895,253210.00,64,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,9.41,9.51,8.51,8.98,9.05,9.59,,8.98,,,97565,889616.00,475,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,10.21,10.32,9.80,10.02,10.08,10.01,,10.02,,,71892,715682.00,198,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,186.10,196.80,183.40,187.35,187.35,186.35,,187.45,,,476929,91172361.00,5916,F1,1,,,,,
2024-05-21,2024-05-21,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,144.90,144.90,138.00,138.05,138.00,144.95,,137.40,,,470,64997.00,6,F1,1,,,,,
