TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-03-21,2024-03-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5779.55,5878.70,5756.20,5865.35,5865.35,5730.70,,5864.90,,,5362,31249541.00,967,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,401.95,405.00,388.25,391.65,393.90,396.80,,390.75,,,15968,6315886.00,577,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,759.65,768.70,751.50,756.75,757.40,747.60,,756.15,,,25193,19111551.00,1373,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,44.51,46.39,44.10,45.18,45.18,44.45,,45.18,,,428696,19374045.00,305,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,82.60,85.80,82.45,84.66,84.66,80.98,,84.66,,,165326,13966469.00,1105,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.53,7.85,7.03,7.25,7.37,7.48,,7.25,,,19830,149584.00,203,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,13.60,13.83,12.59,12.97,12.99,13.25,,12.97,,,80940,1053917.00,148,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,152.00,156.25,151.40,155.65,155.40,150.20,,155.50,,,84199,13019261.00,1227,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,112.25,116.35,108.25,115.90,115.85,112.25,,112.00,,,332,37396.00,12,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5900.05,5959.00,5885.15,5897.95,5891.15,5871.90,,5900.50,,,475,2808815.00,183,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,16.50,17.45,16.50,16.68,16.96,16.71,,16.68,,,34236,575705.00,78,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,964.90,964.90,935.50,937.80,936.25,947.60,,939.20,,,977,923976.00,140,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,29.08,29.95,29.08,29.81,29.79,28.78,,29.80,,,975947,28929098.00,2191,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6947.30,7098.45,6875.20,7064.20,7064.20,6868.30,,7065.75,,,10034,70494489.00,2240,F1,1,,,,,
2024-03-21,2024-03-21,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6700.65,6771.85,6660.00,6715.70,6710.00,6647.05,,6715.75,,,26043,174665681.00,3744,F1,1,,,,,
