TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-11,2024-07-11,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8598.95,8598.95,8430.00,8454.45,8455.50,8544.75,,8457.85,,,4730,40095920.00,1426,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,927.35,927.35,860.95,880.10,885.60,909.15,,880.65,,,25421,22475823.00,2041,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1683.70,1690.00,1640.05,1650.15,1653.50,1683.70,,1650.70,,,37204,61655635.00,3064,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,73.00,77.70,70.90,72.49,72.49,70.66,,72.49,,,2578854,191342265.00,7972,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,112.85,115.00,111.25,113.95,113.95,112.35,,113.95,,,199266,22694911.00,1348,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,11.14,11.29,10.70,10.93,10.75,10.92,,10.96,,,54597,601140.00,78,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.37,8.37,8.12,8.15,8.15,8.29,,8.15,,,64209,523227.00,208,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,9.65,10.30,9.65,10.13,10.13,9.85,,10.13,,,13265,133241.00,69,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,221.20,225.10,220.75,223.05,223.05,220.70,,223.11,,,101708,22633377.00,1399,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,158.70,158.80,152.25,156.80,156.90,158.80,,156.80,,,481,74245.00,12,F1,1,,,,,
2024-07-11,2024-07-11,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6815.55,6893.50,6783.90,6817.05,6792.05,6803.00,,6831.80,,,1298,8871276.00,383,F1,1,,,,,
