TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-05-15,2024-05-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8080.75,8132.05,7965.00,8082.15,8066.00,8081.95,,8084.20,,,25190,202810732.00,6423,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,609.85,610.00,586.70,593.30,593.30,599.25,,593.80,,,32411,19407209.00,1578,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1103.95,1139.00,1096.45,1122.90,1122.90,1090.85,,1123.15,,,101993,113797888.00,5042,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,44.72,46.24,44.72,45.11,45.11,45.22,,45.11,,,40095,1819153.00,260,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,91.21,91.99,89.30,90.38,90.10,90.30,,90.38,,,67724,6155819.00,354,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,9.85,10.10,9.73,9.90,9.93,9.71,,9.90,,,60191,598991.00,289,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,11.11,11.24,10.42,10.50,10.50,10.89,,10.50,,,28152,299226.00,118,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,167.25,189.10,167.25,185.05,185.05,166.55,,184.80,,,693064,127116563.00,7270,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,142.15,142.15,138.15,138.15,138.15,135.40,,140.05,,,125,17368.00,2,F1,1,,,,,
2024-05-15,2024-05-15,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5956.15,5972.00,5871.00,5878.90,5880.00,5939.95,,5876.70,,,1285,7582890.00,620,F1,1,,,,,
