TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-15,2024-07-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8220.60,8263.20,8113.55,8249.35,8249.35,8207.45,,8251.10,,,4041,33087332.00,1179,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,851.05,880.00,822.00,868.00,868.00,847.65,,866.75,,,45989,39020141.00,3418,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1625.45,1641.65,1591.95,1597.65,1597.65,1615.75,,1597.90,,,31381,50253801.00,2786,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,70.60,73.00,69.00,71.24,71.24,70.58,,71.24,,,606036,43162207.00,2351,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,114.40,114.40,110.90,111.35,111.35,113.40,,111.35,,,196615,22030210.00,1844,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,10.70,11.19,10.65,10.84,10.84,11.01,,10.60,,,32514,355605.00,49,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.26,8.28,8.01,8.16,8.20,8.10,,8.16,,,33596,273778.00,249,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.39,10.39,9.80,10.01,9.87,10.09,,10.01,,,51709,517844.00,144,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,216.15,217.95,212.60,214.45,215.00,215.65,,214.51,,,143977,31015837.00,2190,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,161.05,161.05,161.05,161.05,161.05,153.40,,162.22,,,450,72472.00,2,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7089.20,7099.00,6980.00,7052.10,7052.10,6953.45,,7049.80,,,2455,17271280.00,615,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,33.41,33.41,33.41,33.41,33.41,34.09,,33.41,,,30624,1023147.00,71,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1061.00,1071.35,1050.15,1065.35,1063.25,1065.25,,1065.15,,,3418,3627716.00,656,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,43.14,43.19,41.53,41.97,41.97,42.84,,41.90,,,1491399,62647032.00,4580,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,8355.45,8483.15,8355.25,8380.10,8361.85,8347.40,,8380.20,,,1176,9864975.00,401,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7010.45,7084.25,7001.00,7062.90,7062.90,7005.35,,7063.75,,,36389,256662484.00,5693,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,440.50,447.50,440.00,443.75,443.70,440.20,,444.45,,,49328,21905671.00,1196,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,712.95,712.95,685.95,694.15,694.15,699.40,,694.60,,,14177,9875341.00,1001,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2184.10,2184.10,2095.05,2100.70,2108.80,2141.25,,2101.45,,,12052,25560751.00,2118,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3376.10,3383.60,3314.90,3325.75,3314.90,3396.70,,3336.15,,,373,1248727.00,122,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,5650.40,5700.50,5515.00,5587.00,5576.35,5646.45,,5582.45,,,6890,38727152.00,1552,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1513.35,1538.35,1513.35,1527.65,1525.75,1514.55,,1527.95,,,10290,15732913.00,1303,F1,1,,,,,
2024-07-15,2024-07-15,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,5099.50,5099.50,4965.00,5006.05,5006.05,5057.70,,5005.10,,,28781,144400162.00,3081,F1,1,,,,,
