TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-03-27,2024-03-27,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6198.85,6341.00,6094.00,6279.75,6270.00,5931.90,,6279.35,,,38647,242816643.00,4239,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,390.05,410.45,390.05,395.45,395.00,391.35,,394.70,,,46872,18760871.00,1652,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,775.00,785.80,767.75,769.55,767.75,773.75,,770.30,,,13616,10594842.00,837,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,46.04,47.00,44.10,44.52,44.98,46.11,,44.52,,,214248,9770721.00,518,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,85.41,87.30,83.56,84.26,84.26,85.41,,84.26,,,208461,17857256.00,645,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.05,8.15,6.42,7.00,7.00,7.85,,7.00,,,233495,1634534.00,443,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,12.55,13.11,11.89,11.99,12.00,12.51,,11.99,,,218551,2626653.00,284,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,150.60,158.00,150.60,154.80,154.80,150.60,,154.75,,,132305,20442514.00,2219,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,121.95,128.10,121.95,128.10,128.10,122.00,,127.65,,,8805,1120278.00,39,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5819.90,5895.00,5773.20,5786.30,5786.30,5799.50,,5784.40,,,6053,35190275.00,517,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,15.70,15.70,14.66,14.97,14.77,15.39,,14.97,,,36915,556453.00,140,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,922.50,927.95,900.00,901.55,905.90,926.15,,902.35,,,7032,6383058.00,1020,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,29.27,29.82,28.50,28.69,28.69,29.15,,28.65,,,2833046,82480757.00,6099,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,7278.00,7330.00,7113.65,7192.00,7192.00,7258.30,,7187.30,,,3674,26442259.00,1184,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6950.00,7045.00,6902.35,7023.20,7023.20,6910.35,,7022.75,,,80002,558914315.00,15684,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,371.45,371.45,360.00,361.85,361.85,366.05,,362.15,,,60455,22072892.00,1287,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,583.00,602.00,569.10,596.75,598.55,582.65,,594.55,,,18588,10797188.00,1040,F1,1,,,,,
2024-03-27,2024-03-27,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1436.30,1509.75,1392.30,1503.15,1507.80,1444.30,,1505.90,,,10915,15918731.00,1132,F1,1,,,,,
